2023-02-24 12:57:19,631 p=28216 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 12:57:25,079 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:25,087 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:25,090 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:25,094 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:25,097 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: Login to EVE-NG and get Cookie] *********************************************************************************************
2023-02-24 12:57:25,117 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:25,126 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:25,128 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:25,134 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:25,701 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:25,705 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: get running lab list] *******************************************************************************************************
2023-02-24 12:57:25,728 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:25,736 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:25,739 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:25,744 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:26,176 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:26,184 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: kill running lab] ***********************************************************************************************************
2023-02-24 12:57:26,205 p=28216 u=rob n=ansible | [WARNING]: conditional statements should not include jinja2 templating delimiters such as {{ }} or {% %}. Found: item.labname == "{{ eve_ng_folder_name }}/{{
lab }}"

2023-02-24 12:57:26,208 p=28216 u=rob n=ansible | skipping: [eveng] => (item={'podid': '0', 'username': 'admin', 'online': '1', 'uuid': '588b9164-a3b7-4522-8058-0f6ff6286564', 'size': 0.218, 'sat': '0', 'sat_name': 'master', 'labid': 1001, 'labname': '/Common\n', 'cpu': 0, 'mem': 0}) 
2023-02-24 12:57:26,218 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:26,223 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:26,224 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:26,227 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:26,233 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:26,236 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: delete existing lab] ********************************************************************************************************
2023-02-24 12:57:26,256 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:26,264 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:26,267 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:26,272 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:26,831 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:26,840 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: Ensure labtest is present] **************************************************************************************************
2023-02-24 12:57:26,871 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:26,878 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:26,881 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:26,887 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:27,069 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:27,073 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: Create L3VPN_EVPN Lab] ******************************************************************************************************
2023-02-24 12:57:27,095 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:27,103 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:27,106 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:27,111 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:27,714 p=28216 u=rob n=ansible | changed: [eveng]
2023-02-24 12:57:27,718 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: Login to EVE-NG and get Cookie] *********************************************************************************************
2023-02-24 12:57:27,747 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:27,750 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:27,750 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:27,755 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:28,368 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:28,376 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: start vyos-oobm] ************************************************************************************************************
2023-02-24 12:57:28,411 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:28,413 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:28,414 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:28,419 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:29,389 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:29,398 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: Wait for vyos-oobm] *********************************************************************************************************
2023-02-24 12:57:29,428 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:29,433 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:29,436 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:29,441 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:58:31,889 p=28216 u=rob n=ansible | ok: [vyos-oobm]
2023-02-24 12:58:31,898 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: Login to EVE-NG and get Cookie] *********************************************************************************************
2023-02-24 12:58:31,928 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:58:31,937 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:58:31,939 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:58:31,946 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:58:33,003 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:58:33,009 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: get lab status] *************************************************************************************************************
2023-02-24 12:58:33,032 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:58:33,040 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:58:33,042 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:58:33,048 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:58:33,499 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:58:33,505 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: start all nodes] ************************************************************************************************************
2023-02-24 12:58:33,535 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:58:33,537 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:58:33,537 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:58:33,543 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:58:34,626 p=28216 u=rob n=ansible | ok: [eveng] => (item=2)
2023-02-24 12:58:35,958 p=28216 u=rob n=ansible | ok: [eveng] => (item=3)
2023-02-24 12:58:37,499 p=28216 u=rob n=ansible | ok: [eveng] => (item=4)
2023-02-24 12:58:38,413 p=28216 u=rob n=ansible | ok: [eveng] => (item=5)
2023-02-24 12:58:39,267 p=28216 u=rob n=ansible | ok: [eveng] => (item=6)
2023-02-24 12:58:40,158 p=28216 u=rob n=ansible | ok: [eveng] => (item=7)
2023-02-24 12:58:41,078 p=28216 u=rob n=ansible | ok: [eveng] => (item=8)
2023-02-24 12:58:41,979 p=28216 u=rob n=ansible | ok: [eveng] => (item=9)
2023-02-24 12:58:43,035 p=28216 u=rob n=ansible | ok: [eveng] => (item=10)
2023-02-24 12:58:44,055 p=28216 u=rob n=ansible | ok: [eveng] => (item=11)
2023-02-24 12:58:44,676 p=28216 u=rob n=ansible | ok: [eveng] => (item=1)
2023-02-24 12:58:44,689 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: Wait for vyos nodes] ********************************************************************************************************
2023-02-24 12:58:44,720 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:58:44,727 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:58:45,692 p=28216 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use ansible.utils.display.Display.verbosity instead. This feature will be removed in version 2.18. 
Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
